category,GO_term,gene
MS,Response to mechanical stimulus,SHANK3
MS,Response to mechanical stimulus,SLC1A3
MS,Response to mechanical stimulus,SLC26A5
MS,Response to mechanical stimulus,SLC2A1
MS,Response to mechanical stimulus,SLC38A2
MS,Response to mechanical stimulus,SLC8A1
MS,Response to mechanical stimulus,SLC9A1
MS,Response to mechanical stimulus,SLITRK6
MS,Response to mechanical stimulus,SOST
MS,Response to mechanical stimulus,SOX9
MS,Response to mechanical stimulus,SRC
MS,Response to mechanical stimulus,STAT1
MS,Response to mechanical stimulus,STRA6
MS,Response to mechanical stimulus,STRBP
MS,Response to mechanical stimulus,STRC
MS,Response to mechanical stimulus,SUN1
MS,Response to mechanical stimulus,TACR1
MS,Response to mechanical stimulus,TCAP
MS,Response to mechanical stimulus,THBS1
MS,Response to mechanical stimulus,TIFAB
MS,Response to mechanical stimulus,TLR3
MS,Response to mechanical stimulus,TLR4
MS,Response to mechanical stimulus,TLR5
MS,Response to mechanical stimulus,TLR7
MS,Response to mechanical stimulus,TLR8
MS,Response to mechanical stimulus,TMC1
MS,Response to mechanical stimulus,TMC2
MS,Response to mechanical stimulus,TMEM120A
MS,Response to mechanical stimulus,TMEM150C
MS,Response to mechanical stimulus,TMEM87A
MS,Response to mechanical stimulus,TNC
MS,Response to mechanical stimulus,TNF
MS,Response to mechanical stimulus,TNFRSF10A
MS,Response to mechanical stimulus,TNFRSF10B
MS,Response to mechanical stimulus,TNFRSF11A
MS,Response to mechanical stimulus,TNFRSF1A
MS,Response to mechanical stimulus,TNFRSF8
MS,Response to mechanical stimulus,TNFSF14
MS,Response to mechanical stimulus,TRPA1
MS,Response to mechanical stimulus,TRPV4
MS,Response to mechanical stimulus,TTN
MS,Response to mechanical stimulus,TUBA1A
MS,Response to mechanical stimulus,TXNIP
MS,Response to mechanical stimulus,UCN
MS,Response to mechanical stimulus,USP53
MS,Response to mechanical stimulus,WHRN
MS,Response to mechanical stimulus,WNT11
MS,Response to mechanical stimulus,XPA
MS,Response to mechanical stimulus,XPC
MS,Integrin activation,CDH17
MS,Integrin activation,COL16A1
MS,Integrin activation,CX3CL1
MS,Integrin activation,CXCL12
MS,Integrin activation,CXCL13
MS,Integrin activation,FARP2
MS,Integrin activation,FBLIM1
MS,Integrin activation,FERMT1
MS,Integrin activation,FERMT2
MS,Integrin activation,FERMT3
MS,Integrin activation,FN1
MS,Integrin activation,ITGB1BP1
MS,Integrin activation,JAM3
MS,Integrin activation,KIF14
MS,Integrin activation,KRIT1
MS,Integrin activation,MZB1
MS,Integrin activation,P2RY12
MS,Integrin activation,PIEZO1
MS,Integrin activation,PLEK
MS,Integrin activation,PTGER4
MS,Integrin activation,RAP1B
MS,Integrin activation,RASIP1
MS,Integrin activation,SELP
MS,Integrin activation,SKAP1
MS,Integrin activation,SRC
MS,Integrin activation,TLN1
MS,Hippo signaling,AJUBA
MS,Hippo signaling,AMOT
MS,Hippo signaling,AMOTL1
MS,Hippo signaling,AMOTL2
MS,Hippo signaling,ARRDC3
MS,Hippo signaling,CIT
MS,Hippo signaling,CORO7
MS,Hippo signaling,DCHS1
MS,Hippo signaling,DLG5
MS,Hippo signaling,FAT4
MS,Hippo signaling,FRMD1
MS,Hippo signaling,FRMD6
MS,Hippo signaling,IQCJ-SCHIP1
MS,Hippo signaling,LATS1
MS,Hippo signaling,LATS2
MS,Hippo signaling,LIMD1
MS,Hippo signaling,MAP2K3
MS,Hippo signaling,MAPK14
MS,Hippo signaling,MARK3
MS,Hippo signaling,MOB1A
MS,Hippo signaling,MOB1B
MS,Hippo signaling,MOB3B
MS,Hippo signaling,NEK8
MS,Hippo signaling,NF2
MS,Hippo signaling,NUAK2
MS,Hippo signaling,SAV1
MS,Hippo signaling,SCHIP1
MS,Hippo signaling,SHANK2
MS,Hippo signaling,SOX11
MS,Hippo signaling,SRC
MS,Hippo signaling,STK3
MS,Hippo signaling,STK4
MS,Hippo signaling,TEAD1
MS,Hippo signaling,TEAD2
MS,Hippo signaling,TEAD3
MS,Hippo signaling,TEAD4
MS,Hippo signaling,TIAL1
MS,Hippo signaling,VGLL4
MS,Hippo signaling,WTIP
MS,Hippo signaling,WWC1
MS,Hippo signaling,WWC2
MS,Hippo signaling,WWC3
MS,Hippo signaling,WWTR1
MS,Hippo signaling,YAP1
MS,Cellular response to mechanical stimulus,ANKRD1
MS,Cellular response to mechanical stimulus,AQP1
MS,Cellular response to mechanical stimulus,ATP1A2
MS,Cellular response to mechanical stimulus,BAD
MS,Cellular response to mechanical stimulus,BAG3
MS,Cellular response to mechanical stimulus,BAK1
MS,Cellular response to mechanical stimulus,BCL10
MS,Cellular response to mechanical stimulus,BMP6
MS,Cellular response to mechanical stimulus,BNIP3
MS,Cellular response to mechanical stimulus,CASP1
MS,Cellular response to mechanical stimulus,CASP2
MS,Cellular response to mechanical stimulus,CASP5
MS,Cellular response to mechanical stimulus,CASP8
MS,Cellular response to mechanical stimulus,CASP8AP2
MS,Cellular response to mechanical stimulus,CD40
MS,Cellular response to mechanical stimulus,CHEK1
MS,Cellular response to mechanical stimulus,CNN2
MS,Cellular response to mechanical stimulus,COL1A1
MS,Cellular response to mechanical stimulus,CRADD
MS,Cellular response to mechanical stimulus,DAG1
MS,Cellular response to mechanical stimulus,EGFR
MS,Cellular response to mechanical stimulus,ENG
MS,Cellular response to mechanical stimulus,F11R
MS,Cellular response to mechanical stimulus,FADD
MS,Cellular response to mechanical stimulus,FAS
MS,Cellular response to mechanical stimulus,FGF2
MS,Cellular response to mechanical stimulus,GADD45A
MS,Cellular response to mechanical stimulus,GCLC
MS,Cellular response to mechanical stimulus,HABP4
MS,Cellular response to mechanical stimulus,IGF1R
MS,Cellular response to mechanical stimulus,IL13
MS,Cellular response to mechanical stimulus,IL1B
MS,Cellular response to mechanical stimulus,IL33
MS,Cellular response to mechanical stimulus,IRF1
MS,Cellular response to mechanical stimulus,ITGA2
MS,Cellular response to mechanical stimulus,ITGB3
MS,Cellular response to mechanical stimulus,KCNJ2
MS,Cellular response to mechanical stimulus,KCNK4
MS,Cellular response to mechanical stimulus,LTBR
MS,Cellular response to mechanical stimulus,MAG
MS,Cellular response to mechanical stimulus,MAP2K4
MS,Cellular response to mechanical stimulus,MAP3K1
MS,Cellular response to mechanical stimulus,MAP3K14
MS,Cellular response to mechanical stimulus,MAP3K2
MS,Cellular response to mechanical stimulus,MAPK3
MS,Cellular response to mechanical stimulus,MAPK8
MS,Cellular response to mechanical stimulus,MTPN
MS,Cellular response to mechanical stimulus,MYD88
MS,Cellular response to mechanical stimulus,NFKB1
MS,Cellular response to mechanical stimulus,PDE2A
MS,Cellular response to mechanical stimulus,PIEZO1
MS,Cellular response to mechanical stimulus,PIEZO2
MS,Cellular response to mechanical stimulus,PLEC
MS,Cellular response to mechanical stimulus,PTGER4
MS,Cellular response to mechanical stimulus,PTGS2
MS,Cellular response to mechanical stimulus,SCX
MS,Cellular response to mechanical stimulus,SLC2A1
MS,Cellular response to mechanical stimulus,SLC38A2
MS,Cellular response to mechanical stimulus,SLC9A1
MS,Cellular response to mechanical stimulus,SOX9
MS,Cellular response to mechanical stimulus,TLR3
MS,Cellular response to mechanical stimulus,TLR4
MS,Cellular response to mechanical stimulus,TLR5
MS,Cellular response to mechanical stimulus,TLR7
MS,Cellular response to mechanical stimulus,TLR8
MS,Cellular response to mechanical stimulus,TMEM150C
MS,Cellular response to mechanical stimulus,TMEM87A
MS,Cellular response to mechanical stimulus,TNFRSF10A
MS,Cellular response to mechanical stimulus,TNFRSF10B
MS,Cellular response to mechanical stimulus,TNFRSF1A
MS,Cellular response to mechanical stimulus,TNFRSF8
MS,Cellular response to mechanical stimulus,TNFSF14
MS,Cellular response to mechanical stimulus,WNT11
