category,GO_term,gene
CF,Microtubule,TUBB3
CF,Microtubule,TUBB4A
CF,Microtubule,TUBB4B
CF,Microtubule,TUBB6
CF,Microtubule,TUBB8
CF,Microtubule,TUBB8B
CF,Microtubule,TUBD1
CF,Microtubule,TUBE1
CF,Microtubule,TUBG1
CF,Microtubule,TUBG2
CF,Microtubule,TUBGCP2
CF,Microtubule,TUBGCP3
CF,Microtubule,TUBGCP4
CF,Microtubule,TUBGCP5
CF,Microtubule,TUBGCP6
CF,Microtubule,WDR47
CF,Microtubule,WHAMM
CF,Microtubule,ZNF207
CF,Microtubule,ZNF804A
CF,Microtubule,ZW10
CF,Microtubule,ZWILCH
CF,Actin cytoskeleton,ABL1
CF,Actin cytoskeleton,ABL2
CF,Actin cytoskeleton,ABLIM1
CF,Actin cytoskeleton,ABLIM2
CF,Actin cytoskeleton,ABLIM3
CF,Actin cytoskeleton,ABRA
CF,Actin cytoskeleton,ACACA
CF,Actin cytoskeleton,ACKR2
CF,Actin cytoskeleton,ACTA1
CF,Actin cytoskeleton,ACTA2
CF,Actin cytoskeleton,ACTB
CF,Actin cytoskeleton,ACTBL2
CF,Actin cytoskeleton,ACTC1
CF,Actin cytoskeleton,ACTG1
CF,Actin cytoskeleton,ACTL7B
CF,Actin cytoskeleton,ACTL8
CF,Actin cytoskeleton,ACTL9
CF,Actin cytoskeleton,ACTN1
CF,Actin cytoskeleton,ACTN2
CF,Actin cytoskeleton,ACTN3
CF,Actin cytoskeleton,ACTN4
CF,Actin cytoskeleton,ACTR10
CF,Actin cytoskeleton,ACTR1A
CF,Actin cytoskeleton,ACTR1B
CF,Actin cytoskeleton,ACTR2
CF,Actin cytoskeleton,ACTR3
CF,Actin cytoskeleton,ADAM17
CF,Actin cytoskeleton,ADAM8
CF,Actin cytoskeleton,ADCY8
CF,Actin cytoskeleton,ADD1
CF,Actin cytoskeleton,ADD2
CF,Actin cytoskeleton,AFAP1
CF,Actin cytoskeleton,AFAP1L1
CF,Actin cytoskeleton,AHNAK
CF,Actin cytoskeleton,AIF1
CF,Actin cytoskeleton,AIF1L
CF,Actin cytoskeleton,AKAP13
CF,Actin cytoskeleton,ALDOA
CF,Actin cytoskeleton,AMOT
CF,Actin cytoskeleton,AMPH
CF,Actin cytoskeleton,ANG
