"gene","fpr","tpr"
"NDNF",0.0666666666666667,0.218181818181818
"NDNF",0.0666666666666667,0.2
"NDNF",0.0666666666666667,0.181818181818182
"NDNF",0.0666666666666667,0.163636363636364
"NDNF",0.0666666666666667,0.145454545454545
"NDNF",0.0333333333333333,0.145454545454545
"NDNF",0.0333333333333333,0.127272727272727
"NDNF",0.0333333333333333,0.109090909090909
"NDNF",0.0333333333333333,0.0909090909090909
"NDNF",0.0333333333333333,0.0727272727272727
"NDNF",0.0333333333333333,0.0545454545454545
"NDNF",0,0.0545454545454545
"NDNF",0,0.0363636363636364
"NDNF",0,0.0181818181818182
"NDNF",0,0
"PCDHB7",1,1
"PCDHB7",1,0.981818181818182
"PCDHB7",0.966666666666667,0.981818181818182
"PCDHB7",0.933333333333333,0.981818181818182
"PCDHB7",0.9,0.981818181818182
"PCDHB7",0.866666666666667,0.981818181818182
"PCDHB7",0.866666666666667,0.963636363636364
"PCDHB7",0.833333333333333,0.963636363636364
"PCDHB7",0.8,0.963636363636364
"PCDHB7",0.8,0.945454545454545
"PCDHB7",0.766666666666667,0.945454545454545
"PCDHB7",0.733333333333333,0.945454545454545
"PCDHB7",0.7,0.945454545454545
"PCDHB7",0.7,0.927272727272727
"PCDHB7",0.7,0.909090909090909
"PCDHB7",0.666666666666667,0.909090909090909
"PCDHB7",0.633333333333333,0.909090909090909
"PCDHB7",0.633333333333333,0.890909090909091
"PCDHB7",0.6,0.890909090909091
"PCDHB7",0.566666666666667,0.890909090909091
"PCDHB7",0.566666666666667,0.872727272727273
"PCDHB7",0.533333333333333,0.872727272727273
"PCDHB7",0.533333333333333,0.854545454545454
"PCDHB7",0.533333333333333,0.836363636363636
"PCDHB7",0.5,0.836363636363636
"PCDHB7",0.5,0.818181818181818
"PCDHB7",0.466666666666667,0.818181818181818
"PCDHB7",0.466666666666667,0.8
"PCDHB7",0.433333333333333,0.8
"PCDHB7",0.433333333333333,0.781818181818182
"PCDHB7",0.433333333333333,0.763636363636364
"PCDHB7",0.4,0.763636363636364
"PCDHB7",0.366666666666667,0.763636363636364
