fov,MRG,ECM,n
122,-0.0672858123676887,-0.11182576286952602,2497
123,-0.07984768285912275,-0.07570455031431653,2469
124,-0.06304192060137431,-0.05254835935249539,2296
125,-0.036438858175369224,0.02278017141204806,828
126,-0.02516423960620767,-0.06430849715901525,2014
127,-0.0608470553822211,-0.11130185398890646,2788
128,-0.07111071725618637,-0.07875341131950103,2456
129,0.015372958541949528,0.09277248132268641,1442
130,-0.014860047561428003,-0.03869151308710462,2529
131,0.007584576411894466,0.06148123243146379,1339
132,-0.013296308496690192,0.13642166717520252,1968
133,0.0317878757309801,0.10105762900179123,1730
134,0.027643531112395824,0.12665824743521603,1447
135,0.04598940609028962,0.2054044152405389,1147
136,0.011649781404317307,0.07897237664204858,465
137,-0.006943303217025171,0.28403520041797675,2477
138,-0.012296461652569212,0.11894594351183431,1953
139,-0.018835002793640927,0.008474548438223149,1893
140,-0.03054154651488322,0.05975510951628854,1565
141,-0.0038359144501335747,-0.03439902123898353,1483
142,0.02014875665839753,-0.04309975354936523,1585
143,0.007102784683132209,0.005061105478824542,1114
144,-0.032647407819848366,-0.09908763007149296,4239
145,-0.0036384070129227234,0.18644674838692202,2218
146,0.0011283892594074298,0.18500034760199197,1851
147,0.03731664574934345,0.09014875366600839,1593
148,-0.006522827684581296,-0.010126356899080069,1612
149,-0.023977965732851284,-0.014209633541768778,2037
150,-0.05544844688701076,-0.08754980207907449,1973
151,-0.040914948140901256,-0.05793277845419097,1333
152,-0.02271425927057814,0.1821563236230485,2729
153,-0.0022580660646688427,0.1207706698199808,2304
154,-0.004550943654180406,0.08868893654709506,1743
155,0.009363997765707897,0.14391513431586503,1615
156,-0.0050965370745501065,0.0411241404652857,1649
157,-0.04086966194391559,-0.0441316736048897,1936
158,-0.029211757824898106,-0.010643296131383023,1978
159,-0.02676691523820323,0.0013006063366257988,2009
160,-0.05037419684654114,0.06134878599076047,2689
161,-0.0063060983265805495,0.061809759566059656,2096
162,-0.011135254629110362,0.040978920787513855,1746
163,0.016687478378662746,0.09821895057343896,1687
164,-0.012367378311451573,0.030802711585963594,1781
165,-0.0018486231041845967,0.04426740422060968,1779
166,-0.004536287519798338,-0.049944808153317054,2112
167,-0.046024448642794716,-0.06619053838506363,1783
168,-0.028225871047642986,0.10969704721056717,3004
169,-0.00244982578989764,0.0736837222378996,2151
170,0.001266888298027973,0.04151707042013927,1866
171,0.002801148932829523,0.02065582986141506,1824
172,0.007859132101197505,-0.007577646265254634,1655
173,-0.00248050490732212,0.00964233478153189,1702
174,-0.026849035132713535,-0.05690808126216179,2007
175,-0.04578188337910088,-0.1141062958024818,2309
176,-0.055787627018923536,0.06330763306302009,3280
177,-0.03992725717390014,0.007822435069024823,1954
178,-0.030030955628710672,-0.08512065884781637,2263
179,-0.014838468879689001,-0.015619116297851923,1612
180,-0.011035597350273816,-0.002830474518226477,1626
181,-0.017756318675953245,-0.041911612544575864,1679
182,-0.03553172007885165,-0.13958902030329637,1691
183,-0.03625458703629122,-0.13037614801074787,1296
184,-0.058800847285361904,0.007143765228717105,3012
185,-0.04521198165045331,-0.005246029148573328,2200
186,-0.01330811800953865,-0.03729255792604927,1745
187,-0.008178627383492305,-0.030447911572244316,1542
188,0.0021871382569995366,-0.03756794922704184,1500
189,0.04028933398876988,0.08385923178835408,1104
190,-0.04099632234847892,0.03756384342460414,2174
191,-0.10012958102411666,-0.046275061225704996,1119
192,-0.010625577532505672,-0.04378679406781112,654
193,0.06848905219305088,0.051740675768084186,472
194,0.09037556705075357,0.3371219065653964,100
195,0.02161736734363805,0.28718063598869026,1499
196,-0.017758385413846618,0.23555919684009183,1015
197,-0.02243978433523807,-0.055061106027847646,1058
198,0.06720216425627037,0.22605108557062492,572
199,-0.04258114800746647,-0.2189762324751958,1312
200,-0.0068343833076179,-0.18264728823119813,1270
